ENSMUSG00000002489.12	Tiam1
ENSMUSG00000002496.9	Tsc2
ENSMUSG00000002500.12	Rpl3l
ENSMUSG00000002504.11	Slc9a3r2
ENSMUSG00000002524.12	Puf60
ENSMUSG00000002546.13	Golga2
ENSMUSG00000002550.13	Uck1
ENSMUSG00000002565.13	Scin
ENSMUSG00000002578.12	Ikzf4
ENSMUSG00000002580.7	Mien1
ENSMUSG00000002588.9	Pon1
ENSMUSG00000002602.13	Axl
ENSMUSG00000002603.12	Tgfb1
ENSMUSG00000002608.5	Ccdc97
ENSMUSG00000002617.11	Zfp40
ENSMUSG00000002625.9	Akap8l
ENSMUSG00000002633.4	Shh
ENSMUSG00000002635.8	Pdcd2l
ENSMUSG00000002658.9	Gtf2f1
ENSMUSG00000002660.7	Clpp
ENSMUSG00000002661.11	Alkbh7
ENSMUSG00000002664.2	Pspn
ENSMUSG00000002668.7	Dennd1c
ENSMUSG00000002679.11	Med6
ENSMUSG00000002688.7	Prkd1
ENSMUSG00000002699.9	Lcp2
ENSMUSG00000002718.11	Cse1l
ENSMUSG00000002728.11	Naa20
ENSMUSG00000002731.6	Prkra
ENSMUSG00000002732.11	Fkbp7
ENSMUSG00000002733.8	Plekha3
ENSMUSG00000002741.9	Ykt6
ENSMUSG00000002748.6	Baz1b
ENSMUSG00000002763.13	Pex6
ENSMUSG00000002767.10	Mrpl2
ENSMUSG00000002768.7	Mea1
ENSMUSG00000002769.8	Gnmt
ENSMUSG00000002771.10	Grin2d
ENSMUSG00000002778.9	Kdelr1
ENSMUSG00000002781.14	Tmem143
ENSMUSG00000002791.13	Pdxk-ps
ENSMUSG00000002797.7	Ggct
ENSMUSG00000002799.5	Jag2
ENSMUSG00000002803.10	Btbd6
ENSMUSG00000002804.3	Nudt14
ENSMUSG00000002808.6	Epdr1
ENSMUSG00000002812.4	Flii
ENSMUSG00000002814.12	Top3a
ENSMUSG00000002820.5	Atg4d
ENSMUSG00000002825.6	Qtrt1
ENSMUSG00000002831.10	Plin4
ENSMUSG00000002833.10	Hdgfrp2
ENSMUSG00000002835.8	Chaf1a
ENSMUSG00000002844.8	Adprh
ENSMUSG00000002845.11	Tmem39a
ENSMUSG00000002846.9	Timmdc1
ENSMUSG00000002847.6	Pla1a
ENSMUSG00000002870.7	Mcm2
ENSMUSG00000002871.11	Tpra1
ENSMUSG00000002881.11	Nab1
ENSMUSG00000002885.11	Adgre5
ENSMUSG00000002897.3	Il17ra
ENSMUSG00000002900.12	Lamb1
ENSMUSG00000002908.12	Kcnn1
ENSMUSG00000002910.10	Arrdc2
ENSMUSG00000002930.5	Ppp1r17
ENSMUSG00000002944.12	Cd36
ENSMUSG00000002948.15	Map2k7
ENSMUSG00000002949.11	Timm44
ENSMUSG00000002957.8	Ap2a2
ENSMUSG00000002963.13	Pnkp
ENSMUSG00000002968.7	Med25
ENSMUSG00000002980.11	Bcam
ENSMUSG00000002981.9	Clptm1
ENSMUSG00000002983.13	Relb
ENSMUSG00000002984.13	Tomm40
ENSMUSG00000002985.12	Apoe
ENSMUSG00000002992.13	Apoc2
ENSMUSG00000002996.14	Hbp1
ENSMUSG00000002997.12	Prkar2b
ENSMUSG00000003031.11	Cdkn1b
ENSMUSG00000003032.8	Klf4
ENSMUSG00000003033.11	Ap1m1
ENSMUSG00000003037.13	Rab8a
ENSMUSG00000003038.12	Hmgn2
ENSMUSG00000003039.8	Fam32a
ENSMUSG00000003051.10	Elf3
ENSMUSG00000003053.14	Cyp2c29
ENSMUSG00000003062.9	Stard3nl
ENSMUSG00000003068.12	Stk11
ENSMUSG00000003070.6	Efna2
ENSMUSG00000003072.12	Atp5d
ENSMUSG00000003099.8	Ppp5c
ENSMUSG00000003119.11	Cdk12
ENSMUSG00000003123.12	Lipe
ENSMUSG00000003131.6	Pafah1b2
ENSMUSG00000003134.7	Tbc1d8
ENSMUSG00000003135.12	Cnot11
ENSMUSG00000003153.7	Slc2a3
ENSMUSG00000003154.12	Foxj2
ENSMUSG00000003161.12	Sri
ENSMUSG00000003166.16	Dgcr2
ENSMUSG00000003178.7	Mical3
ENSMUSG00000003184.11	Irf3
ENSMUSG00000003190.8	Bcl2l12
ENSMUSG00000003198.9	Zfp959
ENSMUSG00000003199.13	Mpnd
ENSMUSG00000003200.9	Sh3gl1
ENSMUSG00000003206.6	Ebi3
ENSMUSG00000003208.8	Ccdc94
ENSMUSG00000003226.6	Ranbp2
ENSMUSG00000003227.4	Edar
ENSMUSG00000003228.8	Grk5
ENSMUSG00000003233.8	Dvl3
ENSMUSG00000003234.12	Abcf3
ENSMUSG00000003235.9	Eif2b5
ENSMUSG00000003269.11	Cyth2
ENSMUSG00000003271.12	Sult2b1
ENSMUSG00000003273.10	Car11
ENSMUSG00000003279.13	Dlgap1
ENSMUSG00000003282.6	Plag1
ENSMUSG00000003283.10	Hck
ENSMUSG00000003299.9	Mrpl4
ENSMUSG00000003308.11	Keap1
ENSMUSG00000003309.10	Ap1m2
ENSMUSG00000003316.11	Glg1
ENSMUSG00000003341.8	Atp8b3
ENSMUSG00000003344.11	Btbd2
ENSMUSG00000003345.12	Csnk1g2
ENSMUSG00000003346.11	Abhd17a
ENSMUSG00000003348.9	Mob3a
ENSMUSG00000003352.10	Cacnb3
ENSMUSG00000003354.5	Ccdc65
ENSMUSG00000003355.6	Fkbp11
ENSMUSG00000003360.11	Ddx23
ENSMUSG00000003363.12	Pld3
ENSMUSG00000003378.8	Grik5
ENSMUSG00000003379.7	Cd79a
ENSMUSG00000003380.10	Rabac1
ENSMUSG00000003382.15	Etv3
ENSMUSG00000003402.10	Prkcsh
ENSMUSG00000003410.7	Elavl3
ENSMUSG00000003411.7	Rab3b
ENSMUSG00000003418.11	St8sia6
ENSMUSG00000003420.7	Fcgrt
ENSMUSG00000003421.9	Nosip
ENSMUSG00000003423.11	Pih1d1
ENSMUSG00000003429.10	Rps11
ENSMUSG00000003435.8	Supt5
ENSMUSG00000003436.11	Dll3
ENSMUSG00000003437.11	Paf1
ENSMUSG00000003438.14	Timm50
ENSMUSG00000003444.8	Med29
ENSMUSG00000003452.12	Bicd1
ENSMUSG00000003458.9	Ncstn
ENSMUSG00000003464.10	Pex19
ENSMUSG00000003469.6	Phyhip
ENSMUSG00000003476.12	Crhr2
ENSMUSG00000003477.5	Inmt
ENSMUSG00000003484.4	Cyp4f18
ENSMUSG00000003500.10	Impdh1
ENSMUSG00000003505.12	Psg18
ENSMUSG00000003518.10	Dusp3
ENSMUSG00000003526.8	Prodh
ENSMUSG00000003527.8	Dgcr14
ENSMUSG00000003528.11	Slc25a1
ENSMUSG00000003531.11	Dgcr6
ENSMUSG00000003534.14	Ddr1
ENSMUSG00000003541.6	Ier3
ENSMUSG00000003545.2	Fosb
ENSMUSG00000003546.9	Klc4
ENSMUSG00000003549.6	Ercc1
